Participant_ID,Hate_Plaus_Effect,Neutral_Plaus_Effect,Distortion,Hate_Mean_Rating,Neutral_Mean_Rating,Hate_Bias,Fact_Count,Negative_Count,Extended_Negative_Count,Text_Length,Fact_Ratio
165678,0.047619047619047894,1.75,-1.702380952380952,2.7,2.933333333333333,-0.23333333333333295,10,0,0,141,0.7092198581560284
613690,0.75,0.75,0.0,3.4,2.875,0.5249999999999999,10,0,0,417,0.2398081534772182
639397,-0.4107142857142856,0.2142857142857144,-0.625,3.066666666666667,3.4,-0.33333333333333304,5,0,0,91,0.5494505494505495
944896,-0.1607142857142858,1.375,-1.5357142857142858,1.2,2.6875,-1.4875,7,0,0,457,0.15317286652078774
212687,-1.0,0.5,-1.5,1.75,2.375,-0.625,7,0,0,291,0.24054982817869414
195856,-0.4642857142857144,-1.0,0.5357142857142856,3.533333333333333,3.466666666666667,0.06666666666666643,3,0,1,101,0.297029702970297
