Participant_ID,Hate_Plaus_Effect,Neutral_Plaus_Effect,Distortion,Hate_Bias,Fact_Count,Negative_Count,Text_Length
165678,0.047619047619047894,1.75,-1.702380952380952,-0.23333333333333295,10,0,141
613690,0.75,0.75,0.0,0.5249999999999999,10,0,417
639397,-0.4107142857142856,0.2142857142857144,-0.625,-0.33333333333333304,5,0,91
944896,-0.1607142857142858,1.375,-1.5357142857142858,-1.4875,7,0,457
212687,-1.0,0.5,-1.5,-0.625,7,0,291
195856,-0.4642857142857144,-1.0,0.5357142857142856,0.06666666666666643,3,0,101
730450,0.25,0.375,-0.125,0.0625,2,0,117
