Criterion,Lower_bound,Upper_bound,N_excluded,Pct_excluded,N_retained,Mean_Hate,Mean_Neutral,Difference,t_stat,p_value,cohens_d,N_participants
Original (200-3000ms),200,3000,0,0.0,220,488.0366972477064,480.86486486486484,7.171832382841558,0.7744462662924498,0.46807692302347825,0.2927131749131895,7
Stricter (200-1600ms),200,1600,1,0.45454545454545453,219,488.0366972477064,469.55454545454546,18.482151793160938,1.2607319637684808,0.2542121108590817,0.476511892291642,7
